
0 0.819106 0.630564 0.610904 0.655542 0.767907 0.660942 
0 0.771390 0.615587 0.592466 0.631059 0.786885 0.644152 
0 0.741781 0.615268 0.571244 0.612108 0.764286 0.636350 
0 0.715786 0.666928 0.645761 0.798280 0.710267 0.766624 
0 0.803838 0.835178 0.555804 0.636055 0.696229 0.726441 
0 0.820494 0.640964 0.548141 0.600599 0.720492 0.638119 
0 0.753078 0.684915 0.555898 0.617135 0.679249 0.664946 
0 0.763700 0.559002 0.592612 0.611871 0.760144 0.601352 
0 0.867821 0.731569 0.579158 0.651368 0.720307 0.707875 
0 0.812762 0.794213 0.541952 0.611684 0.695145 0.685828 
0 0.832215 0.620150 0.566967 0.613518 0.732754 0.635690 
0 0.812762 0.794213 0.541952 0.611684 0.695145 0.685828 
0 0.830815 0.716040 0.544291 0.607623 0.703282 0.666705 
0 0.830682 0.648332 0.606075 0.659412 0.744146 0.672258 
0 0.803838 0.835178 0.555804 0.636055 0.696229 0.726441 
1 0.803244 0.796879 0.574970 0.662126 0.712424 0.760402 
1 0.759214 0.801419 0.559004 0.636486 0.712772 0.733061 
1 0.760589 0.813797 0.539994 0.617017 0.693174 0.712822 
1 0.758843 0.760341 0.554774 0.640187 0.697956 0.748486 
1 0.772010 0.819354 0.558650 0.637199 0.711547 0.734018 
1 0.784704 0.789521 0.576323 0.662329 0.718893 0.763994 
1 0.784236 0.836945 0.558222 0.637601 0.709624 0.734127 
1 0.759529 0.771059 0.577314 0.660783 0.722497 0.762329 
1 0.750153 0.813852 0.541989 0.615058 0.700893 0.706199 
1 0.728881 0.775572 0.525135 0.596827 0.683538 0.686328 
1 0.802606 0.856493 0.557152 0.637455 0.703920 0.731813 
1 0.777915 0.787726 0.527142 0.594120 0.689455 0.669290 
1 0.773469 0.811562 0.538114 0.612771 0.678636 0.696062 
1 0.753162 0.794056 0.523093 0.594178 0.668872 0.674779 
1 0.760667 0.789019 0.524133 0.593114 0.672210 0.669683 
1 0.778729 0.780681 0.526230 0.593324 0.683101 0.666999 
1 0.744056 0.719605 0.511593 0.574276 0.666755 0.640703 
1 0.773469 0.811562 0.538114 0.612771 0.678636 0.696062 
1 0.740872 0.742942 0.510802 0.575475 0.664082 0.646335 
2 0.622708 0.472376 0.837471 0.594520 0.738953 0.537031 
2 0.640474 0.493945 0.802874 0.614172 0.746344 0.556787 
2 0.627821 0.485716 0.836669 0.605160 0.743117 0.549392 
2 0.630925 0.486074 0.829754 0.606260 0.744702 0.549686 
2 0.646047 0.516896 0.785854 0.632319 0.748692 0.578069 
2 0.702438 0.546067 0.713122 0.653741 0.776054 0.602969 
2 0.681490 0.594021 0.690588 0.705686 0.715622 0.651072 
2 0.651229 0.489646 0.794384 0.610883 0.764159 0.552831 
2 0.602454 0.459435 0.822936 0.578038 0.727294 0.525088 
2 0.612042 0.472385 0.842401 0.589279 0.738528 0.537177 
2 0.608387 0.476764 0.824710 0.592825 0.723084 0.541029 
2 0.598371 0.457905 0.817170 0.577462 0.714819 0.523500 
2 0.616877 0.471736 0.849287 0.592467 0.735031 0.536472 
2 0.609587 0.472063 0.832864 0.588228 0.734391 0.536838 
2 0.609066 0.459160 0.836082 0.581737 0.727871 0.524774 
2 0.616877 0.471736 0.849287 0.592467 0.735031 0.536472 
2 0.624457 0.485305 0.839731 0.603872 0.740442 0.549027 
